timestamp,container,cpu_perc,mem_usage,mem_limit,mem_perc,net_io,block_io
2025-12-01T11:39:08,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:09,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:10,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:11,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:12,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:13,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:14,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:15,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:16,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:17,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:18,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:19,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:20,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:22,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:23,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:24,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:25,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:26,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:27,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:28,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:29,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:30,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:31,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:32,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:33,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:34,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:35,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:36,onnx-int8-api,NA,NA,NA,NA,NA,NA
2025-12-01T11:39:37,onnx-int8-api,NA,NA,NA,NA,NA,NA
